/home/jegou/SemProj2/venvs/myenv/lib/python3.10/site-packages/gymnasium/wrappers/record_video.py:94: UserWarning: [33mWARN: Overwriting existing videos at /home/jegou/SemProj2/videoRL folder (try specifying a different `video_folder` for the `RecordVideo` wrapper if this is not desired)[0m
  logger.warn(
Moviepy - Building video /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4.
Moviepy - Writing video /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4

t:   0%|          | 0/62 [00:00<?, ?it/s, now=None]t:   3%|▎         | 2/62 [00:00<00:09,  6.37it/s, now=None]t:   5%|▍         | 3/62 [00:00<00:08,  7.36it/s, now=None]t:  52%|█████▏    | 32/62 [00:00<00:00, 93.46it/s, now=None]t:  98%|█████████▊| 61/62 [00:00<00:00, 152.72it/s, now=None]                                                             Moviepy - Done !
Moviepy - video ready /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4
[Episode    0] total reward = 25.831388, length = 60

[    0 /  3001]
----------------------------------
actor loss = 13.733689
critic loss = 1499.776367
entropy = 8.448282
mean return = 0.129157
mean length = 0.30

Saving the model ... Done.

[Episode  293] total reward = 30.045067, length = 65
[Episode  294] total reward = 66.332748, length = 142
[Episode  295] total reward = 30.782928, length = 62
[Episode  296] total reward = 216.994583, length = 500
[Episode  297] total reward = 56.032322, length = 119
[Episode  298] total reward = 37.862625, length = 87
[Episode  299] total reward = 18.051914, length = 47
[Episode  300] total reward = 18.704821, length = 46
[Episode  301] total reward = 220.395142, length = 500
[Episode  302] total reward = 14.663069, length = 40
[Episode  303] total reward = 27.786854, length = 62
[Episode  304] total reward = 52.737343, length = 111
[Episode  305] total reward = 26.696842, length = 66
[Episode  306] total reward = 21.647251, length = 50
[Episode  307] total reward = 218.874664, length = 500
[Episode  308] total reward = 213.080353, length = 500
[Episode  309] total reward = 26.891222, length = 70
[Episode  310] total reward = 221.908447, length = 500
[Episode  311] total reward = 30.047951, length = 66
[Episode  312] total reward = 216.191788, length = 500
[Episode  313] total reward = 222.208252, length = 500
[Episode  314] total reward = 225.175873, length = 500
[Episode  315] total reward = 279.593323, length = 500
[Episode  316] total reward = 223.500198, length = 500
[Episode  317] total reward = 219.966125, length = 500
[Episode  318] total reward = 22.687565, length = 50
[Episode  319] total reward = 216.329941, length = 500
[Episode  320] total reward = 214.169373, length = 500
[Episode  321] total reward = 15.041592, length = 38
[Episode  322] total reward = 25.423592, length = 54
[Episode  323] total reward = 19.458866, length = 45
[Episode  324] total reward = 31.055967, length = 70
[Episode  325] total reward = 28.346428, length = 61
[Episode  326] total reward = 224.611343, length = 500
[Episode  327] total reward = 19.628653, length = 45
[Episode  328] total reward = 267.615540, length = 500
[Episode  329] total reward = 22.907816, length = 66
[Episode  330] total reward = 21.488211, length = 49
[Episode  331] total reward = 222.394669, length = 500
[Episode  332] total reward = 39.457024, length = 79
[Episode  333] total reward = 32.315498, length = 77
[Episode  334] total reward = 25.626560, length = 55
[Episode  335] total reward = 35.789589, length = 83
[Episode  336] total reward = 282.447571, length = 500
[Episode  337] total reward = 22.996235, length = 58
[Episode  338] total reward = 215.189667, length = 500
[Episode  339] total reward = 20.575508, length = 52
[Episode  340] total reward = 169.177719, length = 305
[Episode  341] total reward = 218.647003, length = 500
