id,type,group_name,target
18773,IN13A021,,['LegNpT1_L']
18776,IN03A007,,['LegNpT2_L']
18827,IN13A021,,['LegNpT1_R']
18831,IN04B037,14B_ACH_sets(12),['LegNpT1_L']
18834,IN03A007,,['LegNpT1_R']
18836,IN03A007,,"['LegNpT2_L', 'LegNpT2_R']"
18841,IN03A007,,"['LegNpT1_L', 'LegNpT1_R']"
18907,IN03A007,,['LegNpT3_R']
18963,Acc. ti flexor MN,,['LegNpT1_R']
18971,IN03A007,,['LegNpT3_R']
18983,Fe reductor MN,,"['LegNpT1_R', 'ProLNR']"
18992,IN16B018,,"['LegNpT2_L', 'OvL']"
19048,Acc. ti flexor MN,,['LegNpT1_R']
19074,Acc. ti flexor MN,,['LegNpT3_L']
19084,IN03A007,,['LegNpT2_L']
19094,Sternotrochanter MN,,"['LegNpT2_R', 'MesoLNR']"
19105,IN17A061,,"['HTctUTct-T3_L', 'OvL', 'WTctUTct-T2_L']"
19111,IN19A011,19A_GABA_sets(12),['LegNpT3_L']
19115,IN03A007,,['LegNpT2_R']
19192,IN17A061,,"['HTctUTct-T3_R', 'OvR', 'WTctUTct-T2_R']"
19206,Pleural remotor/abductor MN,,['LegNpT2_R']
19236,IN17A061,4_ACH_sets_2(24),['LegNpT3_R']
19260,Acc. ti flexor MN,,['LegNpT3_R']
19413,IN03A007,,['LegNpT1_R']
19443,Tergotr. MN,,['LegNpT1_R']
19497,IN04B037,14B_ACH_sets(12),['LegNpT2_R']
19515,IN03A007,,['LegNpT3_L']
19563,IN16B020,,['LegNpT1_R']
19613,Acc. tr flexor MN,,['LegNpT3_R']
19646,IN03A007,,['LegNpT2_L']
19652,Tergotr. MN,,"['CV', 'DProNL', 'LegNpT1_L', 'VProNL']"
19667,Sternal posterior rotator MN,,"['LegNpT1_L', 'ProANL']"
19690,IN03A007,,['LegNpT1_R']
19699,IN03A007,,['LegNpT1_R']
19704,Tr flexor MN,,"['LegNpT2_L', 'MesoLNL']"
19771,Tr flexor MN,,"['LegNpT1_L', 'ProANL']"
19803,IN13A042,13A_GABA_sets(32),['LegNpT3_L']
19825,IN13A042,13A_GABA_sets(32),['LegNpT1_R']
19839,IN16B018,,['LegNpT2_L']
19842,IN17A061,4_ACH_sets_2(24),['LegNpT3_L']
19867,IN16B020,,['LegNpT1_R']
19870,IN03A007,,['LegNpT2_R']
19886,Tr flexor MN,,"['LegNpT1_R', 'ProANR', 'ProLNR']"
19929,Tr extensor MN,,['LegNpT1_L']
19983,Tr flexor MN,,"['LegNpT2_R', 'MesoLNR']"
20054,IN03A007,,['LegNpT2_R']
20119,Sternal anterior rotator MN,,"['LegNpT2_L', 'MesoLNL']"
20128,IN16B020,,"['LegNpT1_R', 'LegNpT2_R']"
20158,IN03A007,,['LegNpT1_R']
20173,IN16B018,,"['LegNpT1_R', 'LegNpT2_R']"
20317,IN16B018,,['LegNpT1_R']
20333,IN03A007,,['LegNpT2_L']
20366,IN13A042,13A_GABA_sets(32),['LegNpT2_L']
20373,Acc. ti flexor MN,,['LegNpT1_R']
20462,IN06A002,,"['HTctUTct-T3_L', 'HTctUTct-T3_R', 'IntTct', 'LegNpT2_R', 'WTctUTct-T2_L', 'WTctUTct-T2_R']"
20471,IN19A029,,['LegNpT3_R']
20488,IN16B018,,"['LegNpT2_R', 'OvR']"
20494,IN16B018,,['LegNpT1_R']
20572,Tr flexor MN,,"['DProNR', 'LegNpT1_R', 'VProNR']"
20579,IN16B018,,"['LegNpT2_L', 'OvL']"
20593,Acc. ti flexor MN,,['LegNpT3_R']
20605,Acc. ti flexor MN,,"['LegNpT1_R', 'ProLNR']"
20615,Sternotrochanter MN,,['LegNpT1_R']
20673,Tr flexor MN,,['LegNpT1_R']
20743,IN03A007,,['LegNpT2_R']
20882,IN03A007,,['LegNpT1_R']
20948,IN03A007,,['LegNpT3_L']
20989,IN16B020,,['LegNpT2_L']
21006,IN03A007,,"['LegNpT1_L', 'LegNpT1_R']"
21034,IN16B018,,['LegNpT2_L']
21043,IN03A007,,['LegNpT3_L']
21095,IN16B020,,['LegNpT1_L']
21186,Tr flexor MN,,['LegNpT3_L']
21233,IN13A042,13A_GABA_sets(32),['LegNpT2_R']
21241,Sternal posterior rotator MN,,"['LegNpT1_R', 'ProANR', 'ProLNR']"
21255,Pleural remotor/abductor MN,,['LegNpT2_L']
21262,Acc. ti flexor MN,,['LegNpT2_L']
21282,IN03A007,,['LegNpT1_R']
21342,IN03A007,,['LegNpT1_L']
21354,IN03A007,,['LegNpT3_L']
21551,IN16B020,,['LegNpT3_L']
21612,Tr flexor MN,,['LegNpT1_R']
21665,Fe reductor MN,,['LegNpT3_L']
21711,IN16B020,,['LegNpT2_R']
21753,Tergotr. MN,,"['DProNL', 'LegNpT1_L', 'VProNL']"
21874,IN13A021,,['LegNpT1_R']
21914,IN03A007,,['LegNpT3_L']
21944,Fe reductor MN,,['LegNpT1_L']
21985,IN03A007,,['LegNpT2_R']
21991,Ti flexor MN,,"['LegNpT3_R', 'MetaLNR']"
22126,Tergotr. MN,,"['CV', 'LegNpT1_R']"
22215,Sternal anterior rotator MN,,"['CV', 'LegNpT1_R', 'VProNR']"
22250,IN19A029,,['LegNpT1_L']
22429,IN16B020,,"['LTct', 'LegNpT2_L']"
22449,IN16B020,,"['ANm', 'LegNpT3_L']"
22465,Tr flexor MN,,"['LegNpT3_R', 'MetaLNR']"
22487,Acc. tr flexor MN,,['LegNpT3_L']
22538,IN21A009,3_GLU_sets(18),['LegNpT3_L']
22718,Tr flexor MN,,['LegNpT2_L']
22729,Acc. tr flexor MN,,['LegNpT1_R']
22788,IN16B018,,"['LegNpT2_L', 'OvL']"
22813,IN01A038,,"['LegNpT2_L', 'LegNpT2_R', 'OvR']"
23048,Acc. tr flexor MN,,"['LegNpT1_L', 'ProLNL']"
23117,Tr flexor MN,,"['LegNpT3_L', 'MetaLNL']"
23251,IN16B018,,"['IntTct', 'LegNpT2_L']"
23299,Tr flexor MN,,"['LegNpT1_L', 'VProNL']"
23318,Tergotr. MN,,['LegNpT1_R']
23364,Tr flexor MN,,"['LegNpT2_L', 'MesoLNL']"
23450,IN16B018,,"['LegNpT2_R', 'OvR']"
23473,IN19A029,,['LegNpT2_L']
23537,IN03A007,,['LegNpT1_L']
23553,Tergotr. MN,,['LegNpT1_R']
23648,IN03B042,2_GABA_sets(12),['LegNpT3_L']
23698,Acc. ti flexor MN,,['LegNpT1_L']
23832,IN16B018,,"['LegNpT2_L', 'OvL']"
23974,Acc. tr flexor MN,,['LegNpT3_L']
24050,Fe reductor MN,,"['LegNpT1_R', 'ProLNR', 'VProNR']"
24197,IN16B020,,['LegNpT3_R']
24327,IN13B018,2_unk_sets(12),['LegNpT1_L']
24366,IN19A029,,['LegNpT2_R']
24405,IN16B020,,['LegNpT1_L']
24443,Acc. ti flexor MN,,"['LegNpT2_R', 'MesoLNR']"
24609,IN19A029,,['LegNpT3_L']
24668,Tr flexor MN,,['LegNpT3_L']
24669,Sternal anterior rotator MN,,"['LegNpT2_R', 'MesoLNR']"
24747,Sternal posterior rotator MN,,['LegNpT1_L']
24828,Acc. ti flexor MN,,['LegNpT2_L']
24906,IN03A007,,['LegNpT2_L']
25210,IN13A010,2_GABA_sets_2(12),['LegNpT3_L']
25212,Acc. ti flexor MN,,['LegNpT2_L']
25248,IN19A029,,['LegNpT1_L']
25298,IN16B018,,['LegNpT2_R']
25475,Acc. tr flexor MN,,"['LegNpT1_L', 'ProLNL']"
25767,Sternal posterior rotator MN,,"['LegNpT1_R', 'ProANR', 'ProLNR']"
25852,IN16B018,,"['IntTct', 'LegNpT2_R', 'OvR', 'WTctUTct-T2_R']"
25885,Acc. ti flexor MN,,['LegNpT3_L']
